State,Year,Quarter,Reg_name,Reg_users,App_opening
meghalaya,2023,3,west khasi hills district,8831,5030245
meghalaya,2018,3,north garo hills district,737,0
meghalaya,2018,3,south west khasi hills district,177,0
meghalaya,2018,3,west garo hills district,7529,0
meghalaya,2018,3,south garo hills district,821,0
meghalaya,2018,3,east jaintia hills district,2886,0
meghalaya,2018,3,south west garo hills district,810,0
meghalaya,2018,3,east khasi hills district,17543,0
meghalaya,2018,3,east garo hills district,694,0
meghalaya,2018,3,ribhoi district,3889,0
meghalaya,2018,3,west jaintia hills district,1465,0
meghalaya,2018,3,west khasi hills district,730,0
meghalaya,2019,3,north garo hills district,2403,32901
meghalaya,2019,3,south west khasi hills district,521,10278
meghalaya,2019,3,west garo hills district,18509,258510
meghalaya,2019,3,south garo hills district,2020,27451
meghalaya,2019,3,east jaintia hills district,6371,131205
meghalaya,2019,3,south west garo hills district,2306,36115
meghalaya,2019,3,east khasi hills district,38761,608108
meghalaya,2019,3,east garo hills district,2313,32036
meghalaya,2019,3,ribhoi district,9007,185794
meghalaya,2019,3,west jaintia hills district,3346,38914
meghalaya,2019,3,west khasi hills district,1838,26502
meghalaya,2022,3,north garo hills district,9773,1455727
meghalaya,2022,3,south west khasi hills district,2308,1476090
meghalaya,2022,3,west garo hills district,61273,6088916
meghalaya,2022,3,south garo hills district,8265,1884547
meghalaya,2022,3,east jaintia hills district,20320,2781426
meghalaya,2022,3,south west garo hills district,9735,1989507
meghalaya,2022,3,east khasi hills district,113816,5964535
meghalaya,2022,3,east garo hills district,9484,2483744
meghalaya,2022,3,ribhoi district,27844,4219195
meghalaya,2022,3,west jaintia hills district,13176,1931694
meghalaya,2022,3,west khasi hills district,7493,2320754
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,diu district,13167,181641
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,daman district,135976,2278101
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,dadra and nagar haveli district,222731,4702992
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,diu district,9655,102606
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,daman district,98108,1480490
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,dadra and nagar haveli district,160183,2838403
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,diu district,19752,177551
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,daman district,207437,357209
